"BehaviorSpace results (NetLogo 6.0.3)"
"Wealth Distribution.nlogo"
"netlogo-1"
"05/18/2021 19:08:55:632 +1000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20"
"num-grain-grown","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4"
"life-expectancy-max","83","83","83","83","83","83","83","83","83","83","83","83","83","83","83","83","83","83","83","83"
"metabolism-max","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15"
"grain-growth-interval","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"percent-best-land","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10"
"max-vision","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5"
"life-expectancy-min","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"num-people","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250"
"[reporter]","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve"
,"58.4907646602945","53.89192383873235","58.735038084874894","52.92584118438764","57.4453633153689","58.8427948758837","63.75376088677757","58.239055099919135","56.840853729265774","55.068642074465096","53.94827160493827","57.67331968611399","55.6582799634035","58.95891952729321","55.1177096370463","58.949409992467984","55.25801779433062","56.83756241720173","54.54160073839663","54.76111074854792"
,"59.446025077970845","55.685075752813205","60.449676296175376","53.88404276916833","58.6955646410209","59.31585410461408","64.43716872791519","58.60387544039093","58.49742509363295","55.719272313814656","55.10087824831571","57.105941931127646","56.39365809345371","59.93942737509199","56.201396214706776","58.49169476707883","54.81257278849566","57.338979069888836","53.27338432618138","55.96338327010871"
,"60.593520162313006","56.66641781759364","60.2311868415394","54.093796060565424","58.988323500491624","59.74633340218961","62.45787103152805","58.46618169702358","58.78174971031284","55.51161761451651","55.20897959183672","58.27068509859731","56.85618249944897","61.30038529095131","56.471251305362706","56.78346172363986","55.01591597556738","57.91200795644888","53.11433228920287","59.003939529818716"
,"60.44409976812684","56.92667922159451","60.5350118867517","54.576730058108836","57.8782566934806","59.72123711340208","61.983854860186405","58.141018574656904","59.85242768300339","56.74124619399736","56.91590690978885","58.22030834299752","57.20496353543051","60.74723472847535","57.22015643802647","58.36077906630987","55.363520031499164","57.55660281489765","53.36956521739128","57.9283798454563"
,"60.29407607693726","56.52737440524005","60.699957102257486","55.23634812286692","56.56858970562102","58.809925282714055","62.048076923076906","58.54806806481336","60.46644257703081","57.366031001970924","57.881656628302224","59.27567291311758","58.071498397871075","61.17492159619338","57.62708145476403","58.476586194346716","56.036994808597406","57.36765810425118","55.39438839848676","57.46411498106418"
,"61.98638155899309","54.94446414848966","61.96531266702297","57.09421897429207","57.646608187134554","59.320538484636195","62.847358278464725","59.81384183838599","59.476459715124484","57.71570571354029","57.660394158850735","60.68537999865129","57.66980834035382","60.57592166545091","57.52693920954688","58.950886806905906","56.503643336529265","56.924800771534464","54.434938586890425","57.25146270112143"
,"61.779739109621815","56.38916832378059","61.16948449330982","56.875927506730605","56.47176041903898","59.9504637126454","64.28684281477487","59.41905048405626","59.46665784599099","59.32618913809842","57.82447495013489","59.98223250961728","58.232831215021754","59.96598028000216","59.60489303864794","58.73491543278516","57.00002377216755","57.64898964511915","55.55863386673033","56.85450956574556"
,"61.495843436092834","58.30753236103791","60.047741010142396","57.875978090766836","56.667665667665695","59.306779002573705","63.74468251079102","59.368954001939024","58.85447454844006","58.21876084262704","58.81860907675455","60.82688813911242","59.537657780338364","60.62041799772594","60.253572470107926","58.37940074906366","57.42528900353493","58.12089080033614","53.52768807558907","57.0121330492424"
,"62.850855116398776","60.09071779284542","59.95780942281471","58.358234570299864","57.704994224740126","59.55538727823451","63.69172854785484","59.893239466329156","58.477533933121826","58.843127223115545","58.99791525805727","59.99655604257978","61.06486025727128","60.83326166415825","60.98400229357798","58.83103018632834","58.215977716399024","57.995362233938714","54.047785956303336","57.68161773238944"
,"62.723730880070924","59.457159090909116","60.52464220923204","59.46184429908938","58.454513187353264","59.45886442641945","62.75362064645454","60.36842923794711","59.53135135135134","59.30299661672302","60.229356764672765","58.78605344859075","60.46441880647304","59.098731697257136","61.72185915492958","60.1690435073255","58.29239670957848","58.19803786235456","55.00232747585245","57.62056986045426"
,"60.74665474836122","58.297451223638205","60.979756575969425","59.75062609566739","58.43991814461121","60.71675887066003","63.68988277017041","59.63055788590607","60.35088161209064","59.01495079485244","58.42776219854181","58.81414424625664","61.24195399301026","60.37826720816415","60.818709748444995","59.90532445923463","58.5164193956939","59.518199090045506","55.55964771817453","57.11619617907042"
